1.	All of the following are tasks performed by the operating system EXCEPT:
A.	managing hardware on the computer.
B.	controlling the access that application programs have to the CPU.
C.	performing housekeeping tasks like file compression and disk defragmentation.
D.	providing an interface for users to interact with the computer.
Ans: C	


2.	The category of operating system that you most likely have running on your desktop or laptop computer at 
home is a ____________ operating system.
A.	real-time
B.	single-user, single-task
C.	single-user, multi-task
D.	multi-user, multi-task
Ans: C	


3.	The category of operating system that you most likely have running on your PDA computer is a 
____________ operating system.
A.	real-time
B.	single-user, single-task
C.	single-user, multi-task
D.	multi-user, multi-task
Ans: B	


4.	Which of the following is an example of a real-time operating system?
A.	Lynx
B.	MS DOS
C.	Windows XP
D.	Symbian
Ans: A	


5.	A real-time operating system is most likely to be used for which of the following tasks?
A.	Controlling access to a shared printer in a network
B.	Ensuring that the system clock works correctly on a server
C.	Managing the access to system files in a laptop computer
D.	Controlling the fuel injection system of an automobile engine
Ans: D	


6.	An essential difference between the operating system that runs a typical desktop computer and the 
operating system that runs a typical PDA is that:
A.	the desktop OS has a graphical user interface whereas the PDA OS does not.
B.	the desktop OS can run several programs simultaneously whereas the PDA OS cannot.
C.	the desktop OS manages hardware resources whereas the PDA OS does not.
D.	the desktop computer has an OS whereas a PDA does not.
Ans: B	

7.	The MS-DOS operating system is a:
A.	graphical user interface, single-tasking operating system.
B.	graphical user interface, multi-tasking operating system.
C.	command-driven interface, single-tasking operating system.
D.	command-driven interface, multi-tasking operating system.
Ans: C	

8.	Which of the following was an early desktop operating system that included an integrated graphic user 
interface with point-and-click features?
A.	MS-DOS
B.	Mac OS
C.	Unix
D.	Gnome
Ans: B	


9.	The most recent version of the Mac OS is based on the ____________ operating system.
A.	Windows
B.	Linux
C.	Unix
D.	CMOS
Ans: C	


10.	The ____________ operating system was initially created in the early 1970s at AT&T’s Bell Labs.
A.	Linux
B.	DOS
C.	Unix
D.	GNU
Ans: C	


11.	The essential difference between an operating system like Linux and one like Windows is that:
A.	Windows can run with an Intel processor, whereas Linux cannot.
B.	Linux is proprietary, whereas Windows is not.
C.	any programmer can modify Linux code, which is not permitted with Windows.
D.	there are multiple versions of Linux, but only one version of Windows.
Ans: C	


12.	Which of the following is a correct association between a vendor and an operating system?
